timestamp,test_id,criticality,query,answer,answer_length,query_category,num_sources,avg_confidence,response_time_ms,has_min_sources,category_match,required_terms_match,passed
2026-03-11 15:41:49.552972+00:00,T1-001,high,What is the product name and product code for the COVID-19 vaccine?," Pfizer-BioNTech COVID-19 Vaccine, Product Code(s): PF00092.",60,,5,69.68,62883.729,True,True,True,True
2026-03-11 15:42:59.550721+00:00,T1-002,high,What are the storage conditions for the COVID-19 vaccine product?, The COVID-19 vaccine product should be stored at temperatures between -25°C to -15°C and has an approved storage period of months.,131,,5,69.68,69997.749,True,True,True,True
2026-03-11 15:44:08.305326+00:00,T1-003,medium,What fire extinguishing media should be used for the COVID-19 vaccine?, No information about fire extinguishing media is provided in the context.,74,,5,60.32,68754.605,True,True,False,False
2026-03-11 15:45:15.729833+00:00,T1-004,medium,Is the COVID-19 vaccine regulated for transport under DOT or IATA?, The context provided does not contain information about the transport regulations (DOT or IATA) for the COVID-19 vaccine.,122,,5,98.72,67424.50700000001,True,True,False,False
2026-03-11 15:46:25.660849+00:00,T1-005,medium,What is the chemical family or formulation type of the COVID-19 vaccine?, Lipid Nanoparticles containing PF-07305885 (BNT162b2) and Lipids.,66,,5,61.16,69929.99799999999,True,True,True,True
2026-03-11 15:47:15.238078+00:00,T1-006,high,What is the batch number or lot number of the COVID-19 vaccine?, FD7220 (for files test_9.pdf and test_8.pdf) and FE3592 (for file test_7.pdf),78,,5,79.2,49577.229,True,True,False,False
2026-03-11 15:48:29.886567+00:00,T2-001,high,What is the product name and product code for the paracetamol infusion?, The product name is Paracetamol Solution for Infusion and the product code is PZ02462.,87,,5,61.32,74647.48899999999,True,True,True,True
2026-03-11 15:49:32.752946+00:00,T2-002,high,What is the intended use or therapeutic category of the paracetamol product?, Paracetamol is a pharmaceutical product.,41,,5,59.52,62865.365,True,True,False,False
2026-03-11 15:50:28.571046+00:00,T2-003,medium,What is the CAS number of the active ingredient in the paracetamol infusion?, 816-94-4 (ero-3-phosphocholine) is not the active ingredient in the paracetamol infusion. Paracetamol (CAS number 57-88-5) is the active ingredient.,149,,5,70.22,55818.1,True,True,False,False
2026-03-11 15:51:19.132732+00:00,T2-004,medium,What is the molecular formula of paracetamol?, The molecular formula of paracetamol is a mixture.,51,,5,60.0,50561.686,True,True,False,False
2026-03-11 15:52:25.061341+00:00,T2-005,high,What are the clinical effects of a paracetamol overdose?," Possible adverse effects following intravenous exposure to paracetamol may include injection site pain, muscle pain, headache, fever, chills, tiredness, joint pain, abnormal redness of skin (erythema), and sleep disturbances. Serious allergic reactions, including anaphylaxis, have been reported.",297,,5,78.56,65928.609,True,True,False,False
2026-03-11 15:53:33.440548+00:00,T2-006,high,What is the batch number or lot number of the paracetamol infusion?, The batch number or lot number of the paracetamol infusion is 6000 ppm.,72,,5,78.72,68379.207,True,True,False,False
2026-03-11 15:54:49.453436+00:00,T3-001,high,What is the product name and chemical family of the zoledronic acid product?, The product name is Zoledronic Acid Injection and the chemical family is Bisphosphonate.,89,,5,87.46,76012.34999999999,True,True,True,True
2026-03-11 15:55:45.963664+00:00,T3-002,high,What hazard classification applies to the zoledronic acid product?," The zoledronic acid product is classified as a substance/mixture regulated according to Regulation (EC) 1272/2008 and other applicable regulations, with reproductive toxicity classified as Category 1B (H360FD).",211,,5,78.42,56510.227999999996,True,True,True,True
2026-03-11 15:56:37.485326+00:00,T3-003,medium,What is the GHS signal word for zoledronic acid?, Danger.,8,,5,77.48,51521.662,True,True,True,True
2026-03-11 15:57:42.764563+00:00,T3-004,medium,What is the pH of the zoledronic acid injection solution?, The pH of the zoledronic acid injection solution is 6.2.,57,,5,87.86,65279.236999999994,True,True,True,True
2026-03-11 15:58:39.085749+00:00,T3-005,high,What is the Pfizer occupational exposure limit (OEL) for zoledronic acid?, Pfizer OEL TWA-8 Hr for zoledronic acid is 4 µg/m3.,52,,5,77.8,56321.185999999994,True,True,True,True
2026-03-11 15:59:50.200897+00:00,T3-006,medium,Is zoledronic acid regulated for transport?, Zoledronic acid is regulated according to Regulation (EC) 1272/2008 and other applicable regulations.,102,,5,88.18,71115.148,True,True,False,False
2026-03-11 16:01:10.842417+00:00,T4-001,high,What is the product name and chemical family of the ciprofloxacin product?, The product name is Ciprofloxacin Injection and the chemical family is Fluoroquinolone.,88,,5,87.46,80641.52,True,True,True,True
2026-03-11 16:02:27.647658+00:00,T4-002,high,What is the recommended use or therapeutic category of ciprofloxacin injection?, Ciprofloxacin injection is a pharmaceutical product used as an antibiotic agent.,81,,5,79.36,76805.241,True,True,True,True
2026-03-11 16:03:26.229381+00:00,T4-003,medium,What is the pH range of the ciprofloxacin injection solution?, The pH of the ciprofloxacin injection solution is 6.2.,55,,5,79.2,58581.723,True,True,False,False
2026-03-11 16:04:29.049680+00:00,T4-004,high,What is the Pfizer occupational exposure limit for ciprofloxacin?, Pfizer OEL TWA-8 Hr for ciprofloxacin is 4 µg/m3.,50,,5,88.9,62819.304000000004,True,True,True,True
2026-03-11 16:05:40.346741+00:00,T4-005,medium,What aquatic environmental hazards are associated with ciprofloxacin?," According to the provided SDS, ciprofloxacin has been found to have acute and chronic aquatic toxicity for certain species, including Pseudokirchneriella subcapitata, Brachydanio rerio, Daphnia Magna, and Lemna minor. The specific toxicity levels and endpoints are listed in the document.",289,,5,87.32,71297.061,True,True,True,True
2026-03-11 16:06:59.111500+00:00,T4-006,high,What are the known clinical effects of ciprofloxacin on tendons?," Based on clinical trials in humans, possible adverse effects following exposure to ciprofloxacin may include joint pain. However, the context provided does not specifically mention tendons.",190,,5,89.4,78764.75899999999,True,True,True,True
2026-03-11 16:07:48.667411+00:00,T5-001,high,What are the recommended storage and operating temperature conditions for the AKTA ready flow kit?," The recommended storage temperature for AKTA ready flow kits is > +5°C, while the operating temperature is +2°C to +40°C.",122,,5,77.64,49555.911,True,True,True,True
2026-03-11 16:08:35.799278+00:00,T5-002,high,What are the lot numbers for the AKTA ready High Flow and Low Flow kits?," Lot Number: 15102934 (High Flow), Lot Number: 18356721 (Low Flow)",66,,5,90.12,47131.867,True,True,True,True
2026-03-11 16:09:23.387353+00:00,T5-003,high,Does the AKTA ready flow kit contain any materials of animal origin?," No, the AKTA ready flow kit does not contain any materials of animal origin.",77,,5,70.1,47588.075000000004,True,True,True,True
2026-03-11 16:10:11.565237+00:00,T5-004,medium,What change was made to the blister packaging material for the AKTA ready kit?," The blister tray material was changed to PETG, meeting a minimum clarity of 92% according to ASTM D1003.",105,,5,77.8,48177.884,True,True,True,True
2026-03-11 16:10:57.717618+00:00,T5-005,medium,What quality certifications does the supplier Cytiva hold?, Cytiva holds ISO 9001:2015 and ISO 13485:2016 certifications.,62,,5,88.16,46152.381,True,True,True,True
2026-03-11 16:11:43.046196+00:00,T5-006,medium,From which location or country did the AKTA ready kit shipment originate?," Cytiva, Marlborough, MA, United States.",40,,5,68.98,45328.578,True,True,True,True
2026-03-11 16:12:36.638075+00:00,T7-001,high,What is the lot number for this COVID-19 vaccine batch release protocol?, FD7220.,8,,5,68.82,53590.824,True,True,False,False
